电影名,评分,短评数量,热评1,热评2,热评3,热评4,热评5
鬼子来了,9.2,72079,国产片最高境界!,太他妈深刻了,留口气活着很重要，可有些事比活着留口气重要,1.一些意味深长却无法言说的东西。2.众生平等。人性并无美丑之分。渺小的人类个体的行为也无对错可言。是战争和国家这个巨大的利益机器扭曲了人性。3.战争，荣誉，保卫祖国都是公然杀戮的借口而已。4.南京只讲出一分我已觉得满足。姜文简直就是惊喜。,姜文：“我拍《鬼子来了》就是试图让观众明白，如果想避免我们大家都知道的那段不愉快的历史，除了过嘴瘾还有什么办法。我不敢说这部电影给出了这个结论，事实上我一个导演和一部影片也做不到，最高的理想也就是有个方向吧！”结果，这是一部能在日本公映的内地禁片。我觉得这基本就说明一切了。→19.2 二刷
天空之城 天空の城ラピュタ,9.1,71468,不看人生不圆满!!!宫爷爷的所有电影都是!,剧情无甚佳，但天空之城的景象忘不掉，尤其是废墟中布满杂草的死掉机器人出现的时候,我愿意给10颗星！！！！！！！！！！,突然好想哭……,好电影从来都不会因为岁月的流逝而失去它的味道，反而会越来越香醇，一如地窖里的酒。久石让的音乐堪称完美，画面虽是手绘，但亲切感十足，故事背景细节丰富，人物刻画生动，还有区别于一般动画的深刻主题。★★★★☆
何以为家 كفرناحوم,9.1,151914,见过游乐园女神被扒光，洗过沾了鲜血的衣服，听过蜘蛛侠变成蟑螂侠的传闻。才知道美丽会变丑陋，纯净会变脏臭，英雄泯然众人，自己却无能为力。把童贞交给世界，用匕首刺穿丑陋，靠起诉状告父母，挤笑脸嘲弄命运。赞恩把婴儿交给男人，才明白自己谁都保护不了。他就站在破败的街角，仿佛人生走到尽头。,"在这里，女孩是一种商品，可以换钱；男孩是一种工具，负责养家糊口、照顾更小的小孩。
父母只管生，不管养，将孩子当做摇钱树和免费劳动力。他们不但不能给孩子带来快乐，只会给他们带来苦难和折磨。
现在做什么都要考证，做父母却不需要考证。然而并不是所有人都配当父母，也并不是生了孩子就自动成为妈妈。
他们只图一时的快活，让孩子跟着他们来到这个世界一起受苦，他们根本不配做父母。
如果不能给予孩子幸福，当初就不应...",十年前看Caramel开始一直关注的导演，陆续听她先生写的原声，看她演的法国电影，直到Capharnaum入围此次戛纳主竞赛，成为个人List上最期待的影片。十年不见，当初所有的灵气聪明仍在，镜头却越发冷静干净。结局处的回暖，是残酷现实里女导演留有的慈悲。,"孩子，你做了爸爸，你做了妈妈，你也做了替万千与你一样的人鸣不平的英雄，但你唯独没有做过你的本分——一个孩子。
孩子，于你，这世界是该享乐的，生活之苦，是该被那个叫父母的人默默承受，不该像现在这样颠倒着的，你太小，除了哭，你没有与这世界对抗的武器，但，分明连上天都哭了，你为什么从不愿使出这个武器呢？
孩子，你是上帝派来的上帝吧，你头戴光环，普照苦难，渡人却无法渡己，而你的表现却令人揪心：你好像早都知...",最喜欢那个男配角，一岁的孩子约纳斯。每当有音乐响起，这孩子总要试图扭起来！
大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,9.0,72882,"对我们这代人影响最大的电影。寓言故事已然存在，不可避免。世界是巨大的枷锁，你不得不重复自己或是别人的生活。
台词：你看那个人的背影好奇怪，他好像条狗啊。",这才叫旷古烁今。,逢年过节必放必看的经典 我记得片子里最后一句台词是：“你看那个人，好奇怪哟，象一条狗。” 多少的唏嘘感慨啊,片尾曲真的很好听,"经典不用说 
没第2部好～"
哈尔的移动城堡 ハウルの動く城,9.0,97378,看了这个电影就想要一个家。擦地板，在阳光下面放上铺着干净桌布的餐桌，还有照顾小火苗，就如同守护爱人的心一般。,腾空徒步的那一段，最浪漫,"赞这句 ""勇敢面对自己的时候是美丽的少女，退缩时就会变成风烛残年的老妇。"" 的评论",木村拓哉的声音真是亚萨西啊……,激动之下，把日、英、台三个配音版本全看了……
天堂电影院 Nuovo Cinema Paradiso,9.2,79876,看来我要少看电影了，我的人生才是我经营的重点，电影终究只是电影啊~~,如此美丽，如此悲伤。那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,没有结尾的热吻，这部片子就只能是还行,《天堂电影院》是每个人的童年，每个人的家乡，每个人的初恋，是最后绵绵长长一直伴随到死，渗透到了血液里灵魂里的记忆和感觉。,是的，一场伟大的失恋。
素媛 소원,9.2,81220,1，现实还是那么恶心，家人和童话让我们活下去。2，如果心灵得不到安慰，再公正的判决也终是悲剧。,自认为很难被韩国电影感动，但本片爸爸第一次在女儿面前脱下卡通头套那里真是止不住地掉眼泪。跟之前的《熔炉》题材很接近，但是没有借此来过多抨击司法或者人性，更多地还是表现苦难过后对于心灵的疗伤，工厂和家长的捐款，孩子们的贴画，包括最后第二个孩子出世，都象征了生命的不屈与永恒,难得的是没有利用亲情过度煽情，也没有过分纠缠于法律漏洞，避开了韩影最爱用的两个梗，而是更多的聚焦在创伤之后一家人的心理状态变化。重创之后生活始终继续，但你能选择如何面对。此片的所有感动点是来源于细节中和一家人共同努力渡过难关表现出来的积极心态，感动之余，倍感欣慰。有几处台词真心好,爸爸和小女孩演的都太好了，爸爸的基友一家人真不错，这样的人在世上少有了。还好孩子没有受到欺负，能有人正确的引导她，帮助她。人渣们都该死~！我哭死了,负能量正能量负能量正能量负能量正能量负能量正能量负能量正能量，已虐哭…
罗马假日 Roman Holiday,9.0,106718,赫本，无与伦比的美丽。,离开你 并不是因为不爱你,谁不爱赫本啊,从他背对着走，到不自然的转身，观众和他一样，都在奢望些什么。最后整个记者会的段落，就像戏剧和现实的静谧对抗，现实赢了，却让戏剧的魅力更大。也许爱情就是，你不知道她会不会出现，但你却能肯定：她也想出现。这就够了。这样的结局不知可以完爆多少现代爱情片。,我一点都不觉得奥黛丽赫本可爱。
闻香识女人 Scent of a Woman,9.1,107499,"当我心中的正直感逐渐淡去之时,我庆幸我看到此片.",感谢在我灵魂枯竭的时候看到这部电影。,或许是因为年代久远，会觉得故事略显老套，但并不影响影片带来的强烈感触。问题不是哪条路是对的，问题是，你敢不敢走？人即使身残，也应保持灵魂的完整，因为灵魂没有假肢。★★★★,改编自一本意大利小说。个人认为电影比原著出色。主演Al Pacino演技出众。一段探戈，一篇演讲，皆令人印象深刻。,"喜欢TANGO那段
"
辩护人 변호인,9.2,87524,一部电影，看完后，留给人们思考的空间越大、时间越长，电影的张力就越大，价值就越厚重，对人们的影响就会越加深而广。《辩护人》-----我想，当我满头白发时，无论脚下的这片土地变或不变，我依然会记得宋佑硕放弃安稳选择颠簸的理由：想让我的孩子们，还有你的孩子，不要生活在这种荒唐的时代。,2013年韩国到底要生产多少部在中国是绝对敏感题材的电影，《恐怖直播》《流感》到这部《辩护人》，都是在最后半小时爆发，掏空灵魂的让人陷入深思…影界良心！电影的现实意义大过电影本身，前1个半小时还是有些难代入剧情，好在撑到了结尾，并对“点名”煽术毫无抵抗！,看着演技之神倾力贡献这样一部充满力量和信念的片子，本身就值回五颗星了，虽然片子拍面部特写太频繁了点儿，但因为对象是宋康昊，所以真的不能算是缺陷吧......至于故事和题材，除了震撼无话可说，我们只有羡慕嫉妒的份儿，毕竟，人家是用电影去改善制度，而我们，只是用制度来审判电影......,大家都看一下《辩护人》吧，我有一万个理由，来让你们去看，但是，请原谅我现在哭得一个都说不出来。我只想说，虽然，它是一个韩国电影，但是，它讲述的，就是中国，当下的中国，你我的中国，我们所熟悉又陌生的中国......,依然可以找出不少瑕疵，却仍旧要感叹韩国电影工业的日趋成熟，似乎随便一位新人导演就能讲述出令人动容的故事，除了体制之外不得不承认创作态度的天壤之别。生逢乱世明哲保身往往只能是一种奢望，而很多时候恰恰是我们事不关己的冷漠态度在纵容着罪恶的发生。
搏击俱乐部 Fight Club,9.0,115444,一则极具颠覆性质的社会生活寓言.无能为力，无法改变现状，是现代生活中的癌症。虚无使人痛苦，使人希望借各种方式找回存在的真实感。然而现代人的精神悲剧就是，当他们自我搏斗、脱离了一种精神上的奴役的时候，不知不觉又进入了另一种奴役。影片自身所带有的一种不可言传的魔幻性与自我消解意味使它,这种类型片很多，这也不是第一个讲述人格分裂题材的电影，不知为何评价很高~~,看着所有的摩天大楼在我们面前轰然坍塌，结尾真他妈浪漫啊,抛开一切，重获自由。You met me at very strange time in my life. 天呐，今天才看完这部电影。佩服导演埋彩蛋的功力，特别那两个big nice cock，绝妙啊！,"1.我看电影很少背台词,但这部片中的许多台词真是背的滚瓜烂熟. 2.我看过剧本结构最复杂的电影之一,其中情节的关联性对照性和许多彩蛋是模板级别的. 3.这部片后,大卫芬奇奠定了自己""黑暗小清新""教主地位. 4.原本大卫芬奇准备把1/24i秒一帧的布拉德皮特剪到片头24世纪福克斯处,太邪恶的念头了.可惜被否了"
哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,9.0,69326,花了8年才看完这部电影....,一个全新的世界被打开了，新奇而不可思议，我们都是麻瓜，幻想一天早上猫头鹰会送来霍格沃兹的入学通知书。铁三角组合很可爱。,当年还是在电影院看的，波特的魔法世界惊艳展开，风靡全球。,哈利波特系列的电影与小说，我能感受他们的喜怒哀乐，一同烦恼学生时代的“难熬”，当这一系列结束时，再回头看这第一部，有一种“曾当年”的感受，我私以为作者以后再写出什么样的故事也不能如当年那样打动人心，毕竟这已成了我心中的白月光，不是吗,初中时看过的小说，喜欢哈利，赫敏和罗恩，小时候的哈利太可怜了，受尽了欺负和凌辱，幸好成功进入了霍格沃兹魔法学校学习，演员的演技在线，画面优美，特效炫酷，是一部很优秀的电影
