电影名称,评分,短评数量,热门短评1,热门短评2,热门短评3,热门短评4,热门短评5
十二怒汉,9.4,全部 66246 条,偏见，合理的怀疑。任何时候都要保持怀疑的能力。最后，当意见终于统一，每个人默默地穿上外套，离开，桌子上是刚刚一个半小时内发生的巨大震荡留下的痕迹，烟灰缸，纸团，凌乱的纸张，笔，还有那把刀。经过这些震荡后的十二个男人，不管之前是多么的抱着偏见不放，此刻都闪着光。这是人类进步的光芒。,投票不管用，意见领袖也没用，你得让每个人都说个够。然后明智的共识才会产生。,意见领袖在电影中的上佳诠释,一个人在与11个人持对立观点的情况下如何一一说服众人并反败为胜！,看着五十年代的饮水机电风扇和豪华厕所只想感叹“万恶的资本主义”！
鬼子来了,9.2,全部 72479 条,十部南京也抵不过一部鬼子来了。,一刀刘、二脖子、马大三、四表姐夫、五舅姥爷、六旺、七爷、八婶子、小碌碡...,大哥大嫂过年好~~~~AND 姜文这个人是个天分极高的家伙。,太善良、吹牛比、窝里横、不惹事、中庸，中国人的劣根性太他妈多了。这种以个体视角的抗日影片，才是王道。,留口气活着很重要，可有些事比活着留口气重要
何以为家,9.1,全部 153735 条,见过游乐园女神被扒光，洗过沾了鲜血的衣服，听过蜘蛛侠变成蟑螂侠的传闻。才知道美丽会变丑陋，纯净会变脏臭，英雄泯然众人，自己却无能为力。把童贞交给世界，用匕首刺穿丑陋，靠起诉状告父母，挤笑脸嘲弄命运。赞恩把婴儿交给男人，才明白自己谁都保护不了。他就站在破败的街角，仿佛人生走到尽头。,穷人可以生孩子，愚昧的人不要生孩子,十年前看Caramel开始一直关注的导演，陆续听她先生写的原声，看她演的法国电影，直到Capharnaum入围此次戛纳主竞赛，成为个人List上最期待的影片。十年不见，当初所有的灵气聪明仍在，镜头却越发冷静干净。结局处的回暖，是残酷现实里女导演留有的慈悲。,最喜欢那个男配角，一岁的孩子约纳斯。每当有音乐响起，这孩子总要试图扭起来！,这才是能跟李沧东PK的啊，其他都够不到。
天空之城,9.1,全部 71977 条,不看人生不圆满!!!宫爷爷的所有电影都是!,突然好想哭……,好电影从来都不会因为岁月的流逝而失去它的味道，反而会越来越香醇，一如地窖里的酒。久石让的音乐堪称完美，画面虽是手绘，但亲切感十足，故事背景细节丰富，人物刻画生动，还有区别于一般动画的深刻主题。★★★★☆,喜欢工业革命时期笨拙又功能性的全机械化的东西，觉得发明家很了不起,如果说自然赐予文明以生命力的话，那么贪欲则会夺取文明的生命力，直至文明毁灭。植根厚土，沐浴清风。和种子一起过冬，一起在春天里生长；和鸟儿一起在春天里歌唱；和春风一起在大地上舞动。只为追寻那最质朴的生活。“巴鲁斯”与其说他是让拉普达毁灭，还不如说是让拉普达文明涅磐重生。 
大话西游之月光宝盒,9.0,全部 73559 条,2000年。周星星结尾背着金箍棒转身时看得流眼泪。,大话西游是一代人心中的经典.,逢年过节必放必看的经典 我记得片子里最后一句台词是：“你看那个人，好奇怪哟，象一条狗。” 多少的唏嘘感慨啊,那年的蓝洁瑛怎么那么好看 好看到我眼里完全没有莫女神。                                             18.11.03更新 今天瑛姑过世了，这一辈子太苦，但愿天堂里有属于你的月光宝盒。,呵呵，1996年看的。【2014】终于在大荧幕上看了。虽然是普通话。经得起这么多次的反刍，可以确认是经典了。想起东邪西毒重演时提前离场的对比，简直。
哈尔的移动城堡,9.0,全部 98284 条,看了这个电影就想要一个家。擦地板，在阳光下面放上铺着干净桌布的餐桌，还有照顾小火苗，就如同守护爱人的心一般。,"赞这句 ""勇敢面对自己的时候是美丽的少女，退缩时就会变成风烛残年的老妇。"" 的评论",爱给了苏菲勇气，哈尔爱苏菲的勇气。,"比起宫爷爷以前的电影,这电影的主题更轻松.但是依然有一如既往的温暖.另外,哈尔那种小屁孩的性格实在太可爱了!",爱是：1.成为你的仆人；2.拥抱你最丑陋时的模样（人不漂亮因为你才有意思）；3.融化仇敌，卸下巫术；4.秘密小屋只允许你闯入；5.了解你的过去，相信我会在未来等你；6.真心亲吻，解除魔咒；7.放“心”自由，感觉温暖；8.接受爱人的选择，平息一场战争；9.和你建造一所移动城堡，取名为家。10.相信你。
天堂电影院,9.2,全部 80191 条,出去闯荡吧，永远不要回来，不要打电话，不要写信。我不要在这里跟你谈话，我要听别人谈论你。。。,《天堂电影院》是每个人的童年，每个人的家乡，每个人的初恋，是最后绵绵长长一直伴随到死，渗透到了血液里灵魂里的记忆和感觉。,是的，一场伟大的失恋。,在中国电影资料馆先看了177分钟版本的导剪版，感觉后半段特别糟心；随后立刻找来124分钟国际版扫了一眼，感叹这片的制片人和国际发行商够牛逼，直接将一个狗血剧剪成了未央歌：爱情无果而终，影院坍塌解体，不完美的完美。,回忆就是因为回不去才可爱，才可贵。错过多年以后let go的坦然有时比悲情的执着更能予脑海留香
素媛,9.2,全部 81924 条,简直要疯了，强奸未成年的都去死啊啊啊啊。片子虽然虐的要死，但是中间有很多让人特别暖心的细节，包括同事同学朋友的那些帮忙，父亲对女儿那种深沉的爱，让人觉得是可以战胜悲剧的。今年青龙奖给了这部最佳影片也是肯定了它的积极意义,真实事件改编的片子看过总是很堵得慌,与《七号房的礼物》同属催泪亲情片，不过故事没那么飞，所以要节制平实了许多。剧力很强大，一些让人含泪而笑的段落设计得很出色，整体的表演质量非常高。用这种方式拍儿童性侵案，实在是太虐了，等内地上映，影院里会泪流成河的。,得是有多变态才会对小孩子产生性欲,“你能来到这个世上真是太好了。”
罗马假日,9.0,全部 107450 条,当他把手伸进去，她的表情美丽极了……,完美的公主，天使的笑容，魅力的男人,公主与拍小照的穷光蛋，影史上不灭的永恒瞬间,罗马，当然是罗马……,赫本一出场我真是被惊艳到了，身材高挑、五官精致、气质绝佳，无法超越的美，整个影片也拍的很好，不愧是经典，很喜欢
闻香识女人,9.1,全部 108180 条,史上最美的探戈,刚开始，我觉得阿尔帕西诺演得有些用力了。但是看完，我觉得他就应该这么演。甚至那个年轻人O'Donneil也被他带动出极好的水准。探戈，演说。几近完美的一部片子。,或许是因为年代久远，会觉得故事略显老套，但并不影响影片带来的强烈感触。问题不是哪条路是对的，问题是，你敢不敢走？人即使身残，也应保持灵魂的完整，因为灵魂没有假肢。★★★★,这个故事告诉我们……看得见看不见其实无所谓，长得帅怎么都行……,看过这部电影不仅是视觉上的感受更多的是内心的震动和灵魂的洗礼，两个主人公一个是上着大学的乖学生一个是脾气古怪的盲人大叔两个本素不相识的人，因为一分工作联系到了一起，从一开始的互不理解到最后改变了对方，整个过程确实值得人们深思。整部影片的最高潮就是最后的演讲也是我最爱的部分。
辩护人,9.2,全部 88075 条,“国家，证人所说的国家到底是什么？大韩民国宪法第一条第二项，大韩民国主权属于国家，所有的权力都由国民产生，国家即国民。但是证人毫无法律依据，一味强调国家安保，就把国家镇压践踏在了脚下······你是让善良无罪的国家生病的蛆虫，你是军事政权肮脏的帮手。”,法律有时候也是国家暴力机器的一部分，但法律依然是个人能够对抗国家机器唯一的武器，当国家机器想要彻底摧毁一个人的尊严和权利时，它首先想要做到的就是践踏法律。而当法律被如此践踏时，即使是最逐利的律师，也会挺身而出来维护法律。如果要问法律为什么值得信仰，这大概就是我的理由吧。,在韩国维权人士最后可以做总统。。。。。。,韩国失去像卢武铉这样的总统... 真的是国之大丧.. 还有这个叫New的制片商真心让人眼前大亮~  去年本人觉得不错的 《新世界》、《监视者》《7号房的礼物》《捉迷藏》等电影都是New筹拍的 而且都是启用了新人做导演,大家都看一下《辩护人》吧，我有一万个理由，来让你们去看，但是，请原谅我现在哭得一个都说不出来。我只想说，虽然，它是一个韩国电影，但是，它讲述的，就是中国，当下的中国，你我的中国，我们所熟悉又陌生的中国......
搏击俱乐部,9.0,全部 115838 条,我要带我的女朋友去看炸大楼,一则极具颠覆性质的社会生活寓言.无能为力，无法改变现状，是现代生活中的癌症。虚无使人痛苦，使人希望借各种方式找回存在的真实感。然而现代人的精神悲剧就是，当他们自我搏斗、脱离了一种精神上的奴役的时候，不知不觉又进入了另一种奴役。影片自身所带有的一种不可言传的魔幻性与自我消解意味使它,我看这个的时候才知道，电影可以这么牛B，一直到现在，重看最多次的电影。,前半段太繁冗，后半段太啰嗦。。,欢迎讨论。pitt帅成那样很不容易
哈利·波特与魔法石,9.0,全部 70407 条,花了8年才看完这部电影....,一整个世界被打开了的感觉啊。,你信不信，我也养了一只猫头鹰^^,"还是觉得很幼稚,始终没有看进去~~",哈利波特系列的电影与小说，我能感受他们的喜怒哀乐，一同烦恼学生时代的“难熬”，当这一系列结束时，再回头看这第一部，有一种“曾当年”的感受，我私以为作者以后再写出什么样的故事也不能如当年那样打动人心，毕竟这已成了我心中的白月光，不是吗
死亡诗社,9.1,全部 99284 条,看这部电影才知道，原来自己已经死去了好久，从某个不经意间被打破的清晨开始。, 哦！船长！我的船长！,"明明不是悲剧,就是不停的被感动着",这个时候他该怎么办我想，只能去死了。没想到他真去死了。sb一样的父母,“人无千日好，花无百日红。”为什么Keating喜欢当老师？也许正是喜欢置身于人生第一个转折处，给予他们自己最好的指引。“梭罗说，大多数人都生活在平静的绝望中”，这句话人至中年才慢慢体味个中含义，所以，少年时期的梦呀，爱呀，理想呀，追求呀，努力追问，努力回答，才不枉一生。
