电影名称,评分,短评数量,热门短评
鬼子来了,9.2,全部 72166 条,"['国产片最高境界!', '我有个朋友说他一共看了３０多遍……', '中国最好的电影。', '1.一些意味深长却无法言说的东西。2.众生平等。人性并无美丑之分。渺小的人类个体的行为也无对错可言。是战争和国家这个巨大的利益机器扭曲了人性。3.战争，荣誉，保卫祖国都是公然杀戮的借口而已。4.南京只讲出一分我已觉得满足。姜文简直就是惊喜。', '姜文：“我拍《鬼子来了》就是试图让观众明白，如果想避免我们大家都知道的那段不愉快的历史，除了过嘴瘾还有什么办法。我不敢说这部电影给出了这个结论，事实上我一个导演和一部影片也做不到，最高的理想也就是有个方向吧！”结果，这是一部能在日本公映的内地禁片。我觉得这基本就说明一切了。→19.2 二刷']"
天空之城,9.1,全部 71563 条,"['多年后重看天空之城才能更加明白，宫崎骏对细节的处理的用心不仅仅是一时的感动你，宫崎骏能通过他的作品来让你逐渐明白生活的可贵，来明白爱与和平的作用。但就……还是早恋！', '我看这部一直会哭，看了几次哭了几次，也不知道为了什么。总之，一看到手臂长长的铁皮人寂寥的站在那座城中，就控制不住了。', '好电影从来都不会因为岁月的流逝而失去它的味道，反而会越来越香醇，一如地窖里的酒。久石让的音乐堪称完美，画面虽是手绘，但亲切感十足，故事背景细节丰富，人物刻画生动，还有区别于一般动画的深刻主题。★★★★☆', '佩服宫崎骏的想象力，电影中的某些情节还历历在目，是部非常不错的动漫电影，弦乐很动听！', '喜欢宫崎峻的画风，单纯舒服。这些年看过很多动画电影，玩过很多游戏，有空中城堡，有机器人，都会想到天空之城。作为90年代初期的作品，他的想象力真的丰富到难以想象。']"
何以为家,9.1,全部 152354 条,"['见过游乐园女神被扒光，洗过沾了鲜血的衣服，听过蜘蛛侠变成蟑螂侠的传闻。才知道美丽会变丑陋，纯净会变脏臭，英雄泯然众人，自己却无能为力。把童贞交给世界，用匕首刺穿丑陋，靠起诉状告父母，挤笑脸嘲弄命运。赞恩把婴儿交给男人，才明白自己谁都保护不了。他就站在破败的街角，仿佛人生走到尽头。', '生，继续生，越穷越要生，扔在地上嚎两年，能走路能说话也就能干活了。大的带小的，小的带更小的，再养几年就能送出去打工了。男孩传宗接代，女孩能挣彩礼钱，生那么多个，总有一个出息的，吃牢他，吃牢她！生！凭什么不生？', '努力挣钱好好读书，不要穷到只会做爱生小孩（边看边骂《审判日》，比《审判日》更《审判日》）', '前100分钟拍的没有任何一丝赘笔，冷静利落，最后20分钟稍有煽情过度，但也是在合理范围之内，小男孩的演技已经超过当年的柳乐优弥，戛纳最年轻影帝马上就要诞生了。', '从一句话的简介 就直击心灵 再到120分钟完整故事 一直受到着冲击与震撼。 三个看片小伙伴 开篇就哭的稀里哗啦 结束 已经泣不成声  真的是一部还没看完就想让全世界去看的电影。那句在法院上12岁的小ZEIN的发言：我要控诉父母生下我。我想让那些无法养活孩子的父母 不要生下孩子。']"
大话西游之月光宝盒,9.0,全部 73009 条,"['大话西游是一代人心中的经典.', '莫文蔚趴在地上时说了一句话让我很感动，她说，我找到了一个和你很像的人。', '如果一个妖有人性呢，他就是人妖。', '哈哈，星爷的经典该怎么评呢？小时候看不太懂，长大了才看懂还看过好多遍，星爷的喜剧电影是唯一可以让我看3遍以上的电影。', '一代经典，据说上映的时候票房异常惨淡，也没有什么奖项。但现在还是西游系列标杆性的代表。']"
哈尔的移动城堡,9.0,全部 97551 条,"['目前为止觉得哈尔是宫崎骏作品里最帅的男角', '宫崎骏的片子里。老奶奶都很丑。但都是好老奶奶。', '爱给了苏菲勇气，哈尔爱苏菲的勇气。', '比起宫爷爷以前的电影,这电影的主题更轻松.但是依然有一如既往的温暖.另外,哈尔那种小屁孩的性格实在太可爱了!', '激动之下，把日、英、台三个配音版本全看了……']"
天堂电影院,9.2,全部 79927 条,"['真好的一部片子，关于忘年交，关于青春，关于爱情，关于真诚。三十年的时间，你会习惯多少事情而又忘了当初那些感动。当天堂电影院倒塌的一瞬间，脑中残留的画面想起了阿尔弗雷多的那句话：当你在这里待久了，你会以为这里就是世界的中心，你要离开这里。对未来的信仰和憧憬。结尾的吻戏剪辑真赞！', '是的，一场伟大的失恋。', '因为我也当过放映员，深有感悟……我们每个人都是小托托、每个人都希望自己的儿子也叫小托托、就连爷爷奶奶们也都希望有个小托托样的孙子……', '感人，但平淡。', '回忆就是因为回不去才可爱，才可贵。错过多年以后let go的坦然有时比悲情的执着更能予脑海留香']"
素媛,9.2,全部 81369 条,"['1，现实还是那么恶心，家人和童话让我们活下去。2，如果心灵得不到安慰，再公正的判决也终是悲剧。', '爸爸和小女孩演的都太好了，爸爸的基友一家人真不错，这样的人在世上少有了。还好孩子没有受到欺负，能有人正确的引导她，帮助她。人渣们都该死~！我哭死了', '简直要疯了，强奸未成年的都去死啊啊啊啊。片子虽然虐的要死，但是中间有很多让人特别暖心的细节，包括同事同学朋友的那些帮忙，父亲对女儿那种深沉的爱，让人觉得是可以战胜悲剧的。今年青龙奖给了这部最佳影片也是肯定了它的积极意义', '看完真的很生气，一部充满“你受伤了大家就会对你好的”这种鬼话连篇的负能量的片子! 尼玛连小女孩回到学校同学的反应都没敢细讲，你当拍童话呢？如此简单草率的写“心灵创伤、治愈、往前走”，你把沉甸甸的被延展、碾碎的痛苦都往哪儿搁？', '得是有多变态才会对小孩子产生性欲']"
罗马假日,9.0,全部 106869 条,"['赫本，无与伦比的美丽。', '没觉得奥黛丽·赫本特别好看，相比更喜欢费·雯丽~~', '完美的公主，天使的笑容，魅力的男人', '从他背对着走，到不自然的转身，观众和他一样，都在奢望些什么。最后整个记者会的段落，就像戏剧和现实的静谧对抗，现实赢了，却让戏剧的魅力更大。也许爱情就是，你不知道她会不会出现，但你却能肯定：她也想出现。这就够了。这样的结局不知可以完爆多少现代爱情片。', '公主与拍小照的穷光蛋，影史上不灭的永恒瞬间']"
闻香识女人,9.1,全部 107666 条,"['史上最美的探戈', 'Al Pacino,老了也一样帅.', '黑暗中，一个自责的灵魂时刻经历着生命的拷问，在它即将放弃、摆脱、抽身而去时，另一个亟待帮助的灵魂出现了…一个孤独、另一个迷茫，当两颗心碰撞在一起才发现，其实一直在相互扶持、慰藉、拯救…我的心谁能懂？当一切已无法承受，那一曲穿越灵魂的探戈告诉我们，什么样的生命才是真正的永恒！', '看名字我一直以为是爱情片', '这个故事告诉我们……看得见看不见其实无所谓，长得帅怎么都行……']"
辩护人,9.2,全部 87635 条,"['如果在影院看这部电影，我会起立鼓掌，只是不知道有生之年有没有在中国影院看到这样电影的机会。当我们在自卑到狂妄的心理下吹嘘自己贬低邻国时；当我们对一切黑暗和罪恶习以为常并理所应当时；当我们成为这些行为的帮凶时...我们闭上眼睛装作看不见，其实已经落后人家30年，并且差距只会越来越大...', '一部改变现实的电影：釜山地方法院于2014年2月13日对“釜林事件”进行了二审宣判，判决5名被告人无罪，距离一审判决时隔33年。“因为国民不富裕就不能受法律保护，就不能享受民主，这种说法我是无法接受的。”——宋佑硕', '不是很清楚卢武铉是个什么样的总统，不过电影是根据真实事件改编的， 至少他做过这样的事情。韩国电影一直有在自省历史，令人敬佩。大脸影帝之一的宋康昊演的太好，法庭上完全被他带入了。最后一幕特别加分，得人心者得天下！', '只有更卖力地骂内地院线片了。原来是改编了卢武铉的故事，法庭戏倒是一般，煽情没错，但合理性和逻辑性似乎不太够，结尾超级感人。宋康昊曾用那双大小眼注视着银幕观众，如今，又是直面冷血暴力机器，非常之动情', '题材优势占2星。电影技巧本身一般。但这种题材是我们望尘莫及的，因为我们当年没机会没勇气去做那些事情，现在就只能承受这样的后果。']"
搏击俱乐部,9.0,全部 115520 条,"['我要带我的女朋友去看炸大楼', '与同学一起观看。在一个专放商业片校级电影社团放映。一直到大四才看此片，似乎有点不应该。不过我不能理解的是，此片居然如此大众，而且评价如此之高。。。其实我很客观地说，在我心目中，这部电影只能算是一般。坦率地说，我看到中间的时候还睡着了。。。', '这种类型片很多，这也不是第一个讲述人格分裂题材的电影，不知为何评价很高~~', '工作不能代表你，银行存款并不能代表你，你开的车也不能代表你，皮夹里的东西不能代表你，衣服也不能代表你，你只是平凡众生中的其中一个', '各位亲们。。。精神分裂真的不是影片的重点。。。痛是我们感受活着的唯一方式。']"
哈利·波特与魔法石,9.0,全部 69552 条,"['那时候是有多可爱啊，刚接触魔法的种种新鲜和刺激，比起后面的黑暗剧情以及丹尼尔越来越大叔的模样，真是怀念这里啊。', '我竟然還沒有在豆瓣添加哈利波特系列啊... 我怎麼當粉絲的我！第一部自然是最引人入勝的。', '第一部好看啊  哈哈', '哈利波特系列的电影与小说，我能感受他们的喜怒哀乐，一同烦恼学生时代的“难熬”，当这一系列结束时，再回头看这第一部，有一种“曾当年”的感受，我私以为作者以后再写出什么样的故事也不能如当年那样打动人心，毕竟这已成了我心中的白月光，不是吗', '经典就是经典真的是百看不厌啊。神奇的魔法学校以前还真的以为它存在，特别羡慕能在魔法学校学习的学生。哈利波特善良勇敢和他的小伙伴们一起斗伏地魔，里面的小演员都好可爱，演技也是杠杠滴！']"
死亡诗社,9.1,全部 98819 条,"['看这部电影才知道，原来自己已经死去了好久，从某个不经意间被打破的清晨开始。', '开场精彩，中场尽显疲态，结局来了个绝杀，最后终于反败为胜，深入我心。凶手毋庸置疑是那个“船长”，他教会了学生追求快乐，但是却没有教会他们反抗，他教学生成为一个理想主义的诗人，却没有教会他们现实的残酷。充满理想的开篇却以悲剧性的事件结尾，理想终归要回到现实，并一直被现实压制。', ' 哦！船长！我的船长！', '明明不是悲剧,就是不停的被感动着', '后来，多年以后，追姑娘被揍的他成了律师合伙人，继续暗恋过去的女人，被双亲寄予厚望的他终究还是“妥协”成了医生，洒脱不羁胸前刺字的他消失匿迹在茫茫人海，那个羞涩腼腆外柔内刚的文艺青年，一步步蜕变成了文艺中年。光阴飞逝，诗社不朽，Captain, Oh Captain']"
